CONTENT_ID,source,title,events_count,content_duration_sec,avg_progress_ratio
678327,AJA,تراجع شعبية توني بلير ومطالبته بالاستقالة,1,2865,100.0
678323,AJA,الهجمات ضد الإسلام والمسيحية,1,2792,100.0
678321,AJA,تركيا وسياسة الأبواب الأوروبية المغلقة,1,2552,100.0
678302,AJA,الشريعة.. معناها ومبناها,1,2943,100.0
678284,AJA,فقه الشأن العام,1,2764,100.0
678206,AJA,أزمة انهيار أسعار النفط,1,3101,100.0
678152,AJA,الصراع المحتدم في اليمن,1,2991,100.0
678108,AJA,المشروع الأميركي لإعادة بناء الشرق الأوسط,1,4170,100.0
677894,AJA,الأسواق الشعبية العالمية الأكثر تشويقا,1,1468,100.0
677632,AJA,الانتخابات العراقية والمحاصصة الطائفية,1,4305,100.0
677609,AJA,انتخابات الجمعية الوطنية الانتقالية العراقية 2005,1,4115,100.0
677606,AJA,ما بعد قمة شرم الشيخ,1,4248,100.0
677604,AJA,ما بعد الانتخابات الرئاسية الفلسطينية,1,4196,100.0
668640,AJA,شح المياه.. أزمة حقيقية أم مبالغة؟,1,2755,100.0
668402,AJA,الحرف اليدوية اللبنانية وخطر الاندثار,2,1457,100.0
668337,AJA,بيتهوفن.. الموسيقار العبقري,1,409,100.0
668328,AJA,عازف للموسيقى الأوروبية بإحساس عربي,1,707,100.0
668327,AJA,إماراتي يسخّر فنه لحماية الطبيعة,1,449,100.0
668298,AJA,فنان لبناني يعشق العود والتلحين,1,569,100.0
668288,AJA,الفن العربي مصدر إلهام فنان هندي,1,563,100.0
668187,AJA,رسالة فن النحت,1,652,100.0
668159,AJD,ديوانيات الكويت,1,3071,100.0
668136,AJD,فاس البالي,1,3211,100.0
668126,AJD,فلسطين.. ذكريات النكبة,1,949,100.0
667775,AJA,من بغداد إلى ستوكهولم,1,3052,100.0
667722,AJD,ركبُ 300 عام,1,857,100.0
667373,AJA,اختبار الجنسية الألمانية ومعاداة السامية,1,1528,100.0
667323,AJA,حزب الله بين الفكرين السياسي والديني,1,2759,100.0
667252,AJA,إسرائيل العنصرية.. وحق العودة,1,2707,100.0
667222,AJA,صراع الحلفاء في النظام العالمي الجديد,1,2743,100.0
667106,AJA,العولمة.. جدل الرأسمال والسياسة,1,1628,100.0
658438,AJA,جالاوي .. مناصرة الشعب العراقي,1,1440,100.0
658419,AJA,صورة أفريقيا في الإعلام الغربي,1,1695,100.0
658402,AJA,زراعة الحشيشة في لبنان,1,2845,100.0
658043,AJA,جدل الرسوم المسيئة وتواطؤ صحف عربية,1,1583,100.0
657900,AJA,القمة العربية بالدوحة والآمال المعقودة عليها,1,3008,100.0
657799,AJA,فارس الركح.. عبد الحق الزروالي (المغرب),2,2790,100.0
657794,AJA,وما زال الاحتجاج مستمرا,1,2828,100.0
657792,AJA,"""وكل الجهات جنوب""",1,2866,100.0
657787,AJA,كم لنا,1,2960,100.0
657780,AJA,إتفرج يا سلام,1,2822,100.0
657757,AJA,النكبة.. حق يأبى النسيان - الجزء 3,1,2918,100.0
657750,AJA,خرج ولم يعد.. أوراق من ملفات الصمت,1,2935,100.0
657705,AJA,الهروب السياسي من المغرب,1,2685,100.0
648032,Originals,التنظيم الإداري,1,572,100.0
642262,AJA,عرب وجولف وسياسة,1,2824,100.0
641116,AJD,نيروبي,1,1577,100.0
637805,AJA,هل كان استقلال تونس منقوصا؟,1,2900,100.0
632125,AJA,تراث المغرب.. ذكرى سنوية لا تغيب,1,1357,100.0
632012,AJA,مكتبة الكونغرس: الدفتر الذهبي للمعرفة,1,2113,100.0
631095,AJA,أحمد مصطفى.. المبهج في المنهج,1,1533,100.0
631078,AJA,السياسة الخليجية بعد عام ساخن,1,2845,100.0
